#time rv erv jitter rvnoplanet tlab
9189.86777100 7.21326920 3.12580000 3.13877524 -0.73300388 5
9189.87845300 7.21326920 3.08280000 3.09595546 -0.84918761 5
9242.89031000 6.95416920 4.10090000 4.11079861 0.46008527 5
9242.90098900 6.95416920 4.07770000 4.08765479 0.11725654 5
9242.91167100 6.95416920 4.07780000 4.08775454 -0.19885156 5
9242.92235000 6.95416920 4.23370000 4.24328883 -0.48601787 5
9242.93303400 6.95416920 3.76770000 3.77847160 -0.74270385 5
9242.94373200 6.95416920 4.03720000 4.04725440 -0.96761095 5
9244.83737200 -0.15273080 3.98700000 3.99718068 0.16252023 5
9244.84805100 -0.15273080 3.77920000 3.78993892 -0.11210673 5
9244.85874800 -0.15273080 3.76390000 3.77468245 -0.37822925 5
9244.92806500 2.66696920 3.76070000 3.77149160 1.13630588 5
9244.93874900 2.66696920 3.80410000 3.81476882 1.02543185 5
9247.74093000 -1.79733080 4.88470000 4.89301323 -0.25496203 5
9247.74949800 -1.79733080 4.59520000 4.60403599 -0.08446953 5
9247.75806500 -1.79733080 4.68460000 4.69326768 0.09786806 5
9247.76664900 -1.79733080 5.29070000 5.29837625 0.29102308 5
