# period  BIC_array
5.263614603598159025e-01 -9.736145874088947494e+00
5.264552314997915650e-01 -9.791168353620719245e+00
5.265490360563225281e-01 -9.844173261064042890e+00
5.266428740472748338e-01 -9.876438527285586133e+00
5.267367454905268476e-01 -9.790020949057293365e+00
5.268306504039699245e-01 -9.532053162633587817e+00
5.269245888055080762e-01 -9.301409787912916727e+00
5.270185607130581928e-01 -9.320558289929749662e+00
5.271125661445499322e-01 -9.484070902473263232e+00
5.272066051179256085e-01 -9.604891571353846302e+00
5.273006776511405258e-01 -9.709121329039476223e+00
5.273947837621626444e-01 -9.813785329281813574e+00
5.274889234689728035e-01 -9.788990949443814316e+00
5.275830967895648316e-01 -9.648058844855086136e+00
5.276773037419452139e-01 -9.571822754065237859e+00
5.277715443441334253e-01 -9.654367718137791599e+00
5.278658186141617081e-01 -9.784489484937239467e+00
5.279601265700751833e-01 -9.876995167187260449e+00
5.280544682299320725e-01 -9.921507621408409250e+00
5.281488436118032537e-01 -9.913398362650923445e+00
5.282432527337728168e-01 -9.892467152243284545e+00
5.283376956139373970e-01 -9.896443756646476686e+00
5.284321722704068414e-01 -9.911848374160399544e+00
5.285266827213039864e-01 -9.911553517082325016e+00
5.286212269847643253e-01 -9.861589722079088460e+00
5.287158050789367847e-01 -9.728364449299988337e+00
5.288104170219830591e-01 -9.570926161360148399e+00
5.289050628320777214e-01 -9.513022447704315709e+00
5.289997425274083342e-01 -9.532658129330798147e+00
5.290944561261758938e-01 -9.523225192781410442e+00
5.291892036465939420e-01 -9.499402613847564680e+00
5.292839851068894541e-01 -9.463079407167924728e+00
5.293788005253022844e-01 -9.300775832926774456e+00
5.294736499200851654e-01 -9.050629922382881887e+00
5.295685333095043745e-01 -8.913452249965871488e+00
5.296634507118389568e-01 -8.904232609620066796e+00
5.297584021453810577e-01 -8.862845410838872340e+00
5.298533876284361455e-01 -8.791743501734458732e+00
5.299484071793225670e-01 -8.695773826655340599e+00
5.300434608163721029e-01 -8.413299786406355452e+00
5.301385485579294121e-01 -8.036404835040571015e+00
5.302336704223524766e-01 -7.858093663434033260e+00
5.303288264280123787e-01 -7.687736503847418135e+00
5.304240165932935236e-01 -7.417493004992138594e+00
5.305192409365933059e-01 -7.195041124073100036e+00
5.306144994763224432e-01 -7.166358938344615126e+00
5.307097922309050864e-01 -6.698355758905790935e+00
5.308051192187782652e-01 -5.911810044342018955e+00
5.309004804583924431e-01 -5.734902571644283853e+00
5.309958759682112950e-01 -5.982304947720535893e+00
5.310913057667118187e-01 -5.461049649542928819e+00
5.311867698723842235e-01 -5.036630340639476344e+00
5.312822683037321525e-01 -5.238866849444320906e+00
5.313778010792724604e-01 -5.397223269100436482e+00
5.314733682175352136e-01 -4.409945340098602173e+00
5.315689697370641342e-01 -3.763973877133139467e+00
5.316646056564158229e-01 -4.752958993272272892e+00
5.317602759941608692e-01 -5.556452963590231775e+00
5.318559807688824081e-01 -5.176837193393566849e+00
5.319517199991776746e-01 -5.162182822278282401e+00
5.320474937036570040e-01 -6.027090824464949037e+00
5.321433019009441656e-01 -6.519027346583811777e+00
5.322391446096763623e-01 -6.014277488775405800e+00
5.323350218485041196e-01 -6.014080021291078992e+00
5.324309336360915079e-01 -7.372991966132758535e+00
5.325268799911161421e-01 -8.244418478531656547e+00
5.326228609322688490e-01 -8.258552442019436057e+00
5.327188764782542219e-01 -8.333638580785873273e+00
5.328149266477900659e-01 -8.726396517406897146e+00
5.329110114596079528e-01 -8.755981542363883818e+00
5.330071309324526663e-01 -8.684753280295240074e+00
5.331032850850828675e-01 -9.067199462409121224e+00
5.331994739362704294e-01 -9.588487007332446410e+00
5.332956975048011028e-01 -9.754870831919674856e+00
5.333919558094738500e-01 -9.747095824796701891e+00
5.334882488691015112e-01 -9.737969641789277375e+00
5.335845767025102493e-01 -9.704982428872312994e+00
5.336809393285401049e-01 -9.728839668244177119e+00
5.337773367660445523e-01 -9.835350967106364806e+00
5.338737690338906106e-01 -9.913704692696455822e+00
5.339702361509590656e-01 -9.908303894102118647e+00
5.340667381361444699e-01 -9.852638178188499296e+00
5.341632750083548098e-01 -9.798607581629084962e+00
5.342598467865119494e-01 -9.808898963648630343e+00
5.343564534895511864e-01 -9.889453899264481151e+00
5.344530951364216964e-01 -9.912659865995010477e+00
5.345497717460864218e-01 -9.811981031219488614e+00
5.346464833375217385e-01 -9.649706682984174222e+00
5.347432299297182334e-01 -9.458499406257146802e+00
5.348400115416797052e-01 -9.333403273892145080e+00
5.349368281924240520e-01 -9.416658750106535081e+00
5.350336799009829392e-01 -9.643871721021582744e+00
5.351305666864016874e-01 -9.780176081500826513e+00
5.352274885677394956e-01 -9.698975375573013480e+00
5.353244455640692179e-01 -9.502953021066105066e+00
5.354214376944778087e-01 -9.276659226918923196e+00
5.355184649780657669e-01 -9.055309602635588817e+00
5.356155274339478023e-01 -8.977457207757652213e+00
5.357126250812521695e-01 -9.156209739890186938e+00
5.358097579391208898e-01 -9.481241208217852545e+00
5.359069260267103063e-01 -9.705189277955923899e+00
5.360041293631904180e-01 -9.713918786603130684e+00
5.361013679677449906e-01 -9.565774024240909057e+00
5.361986418595721116e-01 -9.322162387742764622e+00
5.362959510578833022e-01 -9.027576165995697011e+00
5.363932955819044057e-01 -8.848539961853589375e+00
5.364906754508750319e-01 -8.986125731707033992e+00
5.365880906840488906e-01 -9.342419834738052487e+00
5.366855413006936804e-01 -9.652629489977584853e+00
5.367830273200910884e-01 -9.782171745549135267e+00
5.368805487615366800e-01 -9.740844227922934806e+00
5.369781056443400091e-01 -9.570638781681850560e+00
5.370756979878250625e-01 -9.292079121750930426e+00
5.371733258113294829e-01 -9.045255543338839743e+00
5.372709891342051236e-01 -9.061623033810747074e+00
5.373686879758178270e-01 -9.339123965765907087e+00
5.374664223555476461e-01 -9.662401060571369271e+00
5.375641922927887340e-01 -9.859031075241205144e+00
5.376619978069492323e-01 -9.894111145588567524e+00
5.377598389174514937e-01 -9.806403238237294318e+00
5.378577156437320816e-01 -9.626605966493798405e+00
5.379556280052415485e-01 -9.445169808886703322e+00
5.380535760214446572e-01 -9.414296358461797354e+00
5.381515597118204930e-01 -9.549873996420387812e+00
5.382495790958622406e-01 -9.731147246248156080e+00
5.383476341930771847e-01 -9.865891618647765426e+00
5.384457250229869318e-01 -9.913687027836317611e+00
5.385438516051274105e-01 -9.889507372237289928e+00
5.386420139590485379e-01 -9.806422019622459629e+00
5.387402121043147751e-01 -9.692845012795032744e+00
5.388384460605046833e-01 -9.610861823102595736e+00
5.389367158472110342e-01 -9.615732411340104591e+00
5.390350214840410326e-01 -9.670268997873677108e+00
5.391333629906163161e-01 -9.736673344675182307e+00
5.392317403865725112e-01 -9.827403466426858358e+00
5.393301536915598993e-01 -9.907734514623484756e+00
5.394286029252427506e-01 -9.905792345088002548e+00
5.395270881073002123e-01 -9.806945934250734354e+00
5.396256092574251984e-01 -9.621989799966172541e+00
5.397241663953254998e-01 -9.386518971316604620e+00
5.398227595407232293e-01 -9.201479257562141356e+00
5.399213887133544887e-01 -9.228997347096083104e+00
5.400200539329703675e-01 -9.516581458301061502e+00
5.401187552193360553e-01 -9.789723492769667246e+00
5.402174925922312854e-01 -9.785638782473711217e+00
5.403162660714503351e-01 -9.562243108449024476e+00
5.404150756768019148e-01 -9.223230132647017854e+00
5.405139214281090565e-01 -8.726053237445739796e+00
5.406128033452094472e-01 -8.222572965708877746e+00
5.407117214479555400e-01 -8.209058418878043994e+00
5.408106757562137767e-01 -8.818153051616150151e+00
5.409096662898655872e-01 -9.380223938350923163e+00
5.410086930688068341e-01 -9.353067663469232684e+00
5.411077561129478131e-01 -8.970522699462890159e+00
5.412068554422135858e-01 -8.586933333856791251e+00
5.413059910765438687e-01 -8.126549249887261794e+00
5.414051630358927003e-01 -7.732991064245084090e+00
5.415043713402288850e-01 -7.962591239189691805e+00
5.416036160095361041e-01 -8.749811129749218708e+00
5.417028970638122498e-01 -9.402571133587912300e+00
5.418022145230702025e-01 -9.507272440316683060e+00
5.419015684073376082e-01 -9.258679695523028386e+00
5.420009587366564352e-01 -9.004429242466358119e+00
5.421003855310835284e-01 -8.846076422839132647e+00
5.421998488106906100e-01 -8.861703290003902111e+00
5.422993485955639459e-01 -9.128452438557246751e+00
5.423988849058045680e-01 -9.523774140886303030e+00
5.424984577615284964e-01 -9.824941053904353794e+00
5.425980671828660729e-01 -9.921126269306455470e+00
5.426977131899628493e-01 -9.865758691801829627e+00
5.427973958029790325e-01 -9.771829862141999001e+00
5.428971150420894842e-01 -9.700103835628397064e+00
5.429968709274842764e-01 -9.643840747818558157e+00
5.430966634793679138e-01 -9.582189245769882291e+00
5.431964927179600000e-01 -9.537732252559749213e+00
5.432963586634949049e-01 -9.567194626720038286e+00
5.433962613362218752e-01 -9.696087400339706619e+00
5.434962007564052566e-01 -9.854283994683441961e+00
5.435961769443240499e-01 -9.866371812527859220e+00
5.436961899202722437e-01 -9.592736910835128583e+00
5.437962397045588148e-01 -9.141226182276682266e+00
5.438963263175076168e-01 -8.801635080872415529e+00
5.439964497794577136e-01 -8.747723496525281917e+00
5.440966101107627129e-01 -8.935941203136167132e+00
5.441968073317916543e-01 -9.247576859105606673e+00
5.442970414629283438e-01 -9.474579423236718867e+00
5.443973125245715750e-01 -9.256943576022536035e+00
5.444976205371354627e-01 -8.501960636580975006e+00
5.445979655210486658e-01 -7.772740507231901574e+00
5.446983474967553862e-01 -7.639498681974259853e+00
5.447987664847147027e-01 -7.998022025960608516e+00
5.448992225054007932e-01 -8.454985784288965078e+00
5.449997155793030457e-01 -8.923628820865928901e+00
5.451002457269256141e-01 -9.106535433154590464e+00
5.452008129687883065e-01 -8.667972795235641570e+00
5.453014173254255859e-01 -7.869403846520413026e+00
5.454020588173874584e-01 -7.549179059471953224e+00
5.455027374652388072e-01 -7.961223643157381957e+00
5.456034532895599476e-01 -8.628726905033431649e+00
5.457042063109462937e-01 -9.199037204271007795e+00
5.458049965500083589e-01 -9.554321820664199549e+00
5.459058240273720886e-01 -9.519610857560337536e+00
5.460066887636785271e-01 -9.158176162869949621e+00
5.461075907795840401e-01 -8.918625124239952129e+00
5.462085300957603140e-01 -9.100398619897191566e+00
5.463095067328941346e-01 -9.511126323518283243e+00
5.464105207116878304e-01 -9.830869799343872728e+00
5.465115720528589405e-01 -9.883657889703840738e+00
5.466126607771402135e-01 -9.616716920458316054e+00
5.467137869052799415e-01 -9.261811086458578757e+00
5.468149504580415154e-01 -9.158148503281836383e+00
5.469161514562040916e-01 -9.350983940618334600e+00
5.470173899205618140e-01 -9.610603336832014065e+00
5.471186658719244811e-01 -9.725292760288880345e+00
5.472199793311172122e-01 -9.542339896961152590e+00
5.473213303189805590e-01 -9.009250552018784219e+00
5.474227188563703939e-01 -8.448071768164254536e+00
5.475241449641583547e-01 -8.324060369531480319e+00
5.476256086632311781e-01 -8.643325721813425844e+00
5.477271099744915883e-01 -9.072922848632515525e+00
5.478286489188570751e-01 -9.365408179090422891e+00
5.479302255172613378e-01 -9.387796206364214413e+00
5.480318397906531747e-01 -9.044041748694212401e+00
5.481334917599972600e-01 -8.511589696337978239e+00
5.482351814462734785e-01 -8.238836378343080469e+00
5.483369088704775907e-01 -8.443710015478814057e+00
5.484386740536206784e-01 -8.916771326392222363e+00
5.485404770167295885e-01 -9.349366295248159986e+00
5.486423177808467111e-01 -9.562860351569270279e+00
5.487441963670303124e-01 -9.454986400162056270e+00
5.488461127963538688e-01 -9.082004171972698714e+00
5.489480670899067327e-01 -8.751853245779557255e+00
5.490500592687940218e-01 -8.740541933097006222e+00
5.491520893541363968e-01 -9.023921430145719569e+00
5.492541573670705057e-01 -9.390953928029830422e+00
5.493562633287480956e-01 -9.660141850576678735e+00
5.494584072603373448e-01 -9.724221120765832893e+00
5.495605891830216416e-01 -9.553734984307652667e+00
5.496628091180005837e-01 -9.271906887001023279e+00
5.497650670864893119e-01 -9.092693286064786662e+00
5.498673631097185099e-01 -9.129340649594610113e+00
5.499696972089351821e-01 -9.334576853847920574e+00
5.500720694054017645e-01 -9.584787500841912333e+00
