#time rv erv jitter rvnoplanet tlab
9153.38200000 11.35671314 2.40000000 3.85054373 -0.80817187 0
9153.47170000 11.31671314 2.05000000 3.64268953 2.18170686 0
9154.49920000 6.32671314 1.76000000 3.48773379 -0.21728556 0
9154.62010000 8.52671314 1.73000000 3.47269161 -0.46591392 0
9156.45180000 2.61671314 1.60000000 3.40979281 4.43788475 0
9156.58530000 4.95671314 1.61000000 3.41449659 3.03182764 0
9161.35990000 9.81671314 3.26000000 4.43782458 3.90407935 0
9161.45050000 10.91671314 3.97000000 4.98272887 6.68349605 0
9161.57320000 2.07671314 1.63000000 3.42397240 1.65184022 0
9161.67240000 -2.79328686 2.18000000 3.71740326 -1.97684436 0
9163.37740000 7.36671314 2.99000000 4.24344047 0.36664325 0
9163.49920000 -0.28328686 3.03000000 4.27171944 -3.98164508 0
9173.89166300 -3.82517130 1.94800000 2.20496520 -2.66690006 1
9173.98061900 -1.78717130 1.49500000 1.81719359 -3.01837669 1
9180.87360100 4.38782870 1.27900000 1.64408288 -0.06395676 1
9180.95909500 -0.91217130 1.26100000 1.63011918 -2.46275112 1
9181.03144600 0.77682870 1.49000000 1.81308233 0.90952240 1
9181.84025000 3.58282870 1.80300000 2.07797414 2.64443697 1
9181.93144000 6.42282870 1.34200000 1.69355588 2.47426921 1
9182.01258800 4.51482870 2.00700000 2.25725863 -1.76210111 1
9182.81351100 8.20982870 2.14800000 2.38349985 2.14636323 1
9182.89215700 2.29282870 1.51500000 1.83368278 -1.48856046 1
9182.97942800 0.18982870 1.43300000 1.76653801 -0.63904134 1
9183.07998700 0.05282870 2.03400000 2.28129865 0.85482049 1
9183.76783100 2.63182870 2.26200000 2.48672707 3.44703944 1
9183.99423600 4.85182870 1.52100000 1.83864312 -0.49327460 1
9184.07505300 8.73582870 1.94500000 2.20231527 2.10529851 1
9185.03483500 -0.06217130 1.11500000 1.51999754 0.32700325 1
9173.89166300 -0.70941425 1.19300000 1.81730706 0.44885699 2
9173.98061900 3.66258575 0.95900000 1.67303226 2.43138037 2
9180.87360100 4.07258575 0.82300000 1.59896371 -0.37919971 2
9180.95909500 2.77158575 0.82300000 1.59896371 1.22100594 2
9181.03144600 -1.68341425 0.90400000 1.64212421 -1.55072054 2
9181.84025000 1.08058575 1.08900000 1.75079323 0.14219402 2
9181.93144000 3.59758575 0.85200000 1.61408176 -0.35097373 2
9182.01258800 8.43758575 1.21300000 1.83049855 2.16065594 2
9182.81351100 3.35458575 1.25900000 1.86129980 -2.70887971 2
9182.89215700 3.16358575 0.93500000 1.65939174 -0.61780340 2
9182.97942800 -0.38541425 0.88200000 1.63011654 -1.21428429 2
9183.07998700 -1.03541425 1.08800000 1.75017140 -0.23342246 2
9183.76783100 2.95758575 1.10000000 1.75765638 3.77279650 2
9183.83016000 -1.75241425 1.62600000 2.12678911 -1.87552885 2
9183.99423600 4.61458575 0.90100000 1.64047461 -0.73051755 2
9184.07505300 4.63458575 1.04700000 1.72498259 -1.99594443 2
9185.03483500 0.47758575 0.64700000 1.51590400 0.86676030 2
9515.03853500 -9.63821838 1.18000000 1.45921752 -1.40976769 3
9520.12791300 -1.12821838 1.37100000 1.61757744 1.10008241 3
9525.86479500 10.82478162 1.76500000 1.96268713 -1.02526545 3
9529.92015500 -3.73021838 1.38200000 1.62691112 -0.96082306 3
9537.98931800 -3.38821838 1.02500000 1.33698945 -1.58331796 3
9538.85193900 -0.55621838 1.28200000 1.54286739 0.97555369 3
9539.81052300 -1.10821838 1.28800000 1.54785651 1.85380373 3
9539.85581000 -0.94421838 1.07900000 1.37882442 0.58032968 3
9539.99340700 5.16878162 1.53900000 1.76222495 1.79251268 3
9540.05145100 3.67978162 1.40800000 1.64905421 -0.74395030 3
9515.03853500 -7.12043806 0.76300000 1.33009941 1.10801262 4
9520.12791300 -2.77943806 0.79000000 1.34576946 -0.55113727 4
9525.86479500 13.11356194 0.97300000 1.46072736 1.26351487 4
9529.92015500 -2.43943806 0.84000000 1.37571633 0.32995725 4
9537.98931800 -0.76743806 0.64800000 1.26763537 1.03746236 4
9538.85193900 -2.22143806 0.72600000 1.30922551 -0.68966599 4
9539.81052300 -5.13643806 0.63700000 1.26204771 -2.17441595 4
9539.85581000 -1.58243806 0.61700000 1.25207206 -0.05789001 4
9539.99340700 3.54656194 0.91000000 1.41954057 0.17029299 4
9540.05145100 4.31956194 0.78700000 1.34401058 -0.10416998 4
9119.98960300 7.31912157 3.27190000 3.36698224 5.00250608 5
9120.00035400 9.24882157 3.66450000 3.74963998 7.33395725 5
9123.01541500 -0.85917843 3.10730000 3.20726567 3.34803100 5
9123.02619000 -6.34667843 3.17350000 3.27144341 -2.53454033 5
9123.03701500 -6.52457843 3.15310000 3.25165794 -3.10988695 5
9153.02322600 8.25242157 3.89150000 3.97177693 1.45815500 5
9153.03398700 10.78392157 3.62250000 3.70860432 3.81199488 5
9156.94231400 -9.37827843 3.80400000 3.88608489 -3.65915196 5
9156.95302500 -6.82577843 3.82120000 3.90292316 -0.94171012 5
9157.02692200 -8.56477843 3.84400000 3.92524850 -2.55870713 5
9157.03760300 -5.18847843 3.81180000 3.89372046 0.69018472 5
9188.86894200 6.18022157 3.73350000 3.81710126 0.19361158 5
9188.87962500 9.89022157 5.11920000 5.18048727 4.22917055 5
9188.95689200 -0.18217843 3.06070000 3.16213919 -3.12250670 5
9188.97109800 1.83522157 3.45600000 3.54614943 -0.60154915 5
9188.98530600 4.63002157 3.05330000 3.15497712 2.67623135 5
9189.79770700 3.04142157 3.18190000 3.27959256 4.69887738 5
9189.80840100 -2.59927843 3.17760000 3.27542082 -1.01831464 5
9189.86777100 -3.93537843 3.12580000 3.22519230 -3.38188919 5
9189.87845300 -2.76907843 3.08280000 3.18353508 -2.49124026 5
9242.89031000 -0.11857843 4.10090000 4.17715460 -1.45462353 5
9242.90098900 0.90732157 4.07770000 4.15438047 -0.66657218 5
9242.91167100 1.43232157 4.07780000 4.15447862 -0.34946010 5
9242.92235000 2.55862157 4.23370000 4.30760438 0.60116311 5
9242.93303400 -2.22477843 3.76770000 3.85055880 -4.32401409 5
9242.94373200 5.75732157 4.03720000 4.11463529 3.55165206 5
9244.83737200 -3.09157843 3.98700000 4.06539159 -1.96152211 5
9244.84805100 0.01712157 3.77920000 3.86181206 0.79696476 5
9244.85874800 -3.39987843 3.76390000 3.84684065 -2.95754984 5
9244.92806500 3.70642157 3.76070000 3.84370970 2.50489221 5
9244.93874900 6.76472157 3.80410000 3.88618278 5.42167814 5
9247.74093000 -3.06217843 4.88470000 4.94889218 0.71750408 5
9247.74949800 -0.97317843 4.59520000 4.66337890 3.04160718 5
9247.75806500 -7.80147843 4.68460000 4.75149628 -3.53653455 5
9247.76664900 -9.20897843 5.29070000 5.35002301 -4.67983431 5
