date keplerian stellar stellar+keplerian GP_variance
9041.75034432 -0.83675921 -0.01114960 -0.84790881 5.43968271
9041.86321973 -3.60561579 0.10621712 -3.49939867 5.43185794
9041.97609514 -2.68927292 0.22045614 -2.46881678 5.42429931
9042.08897055 0.97570088 0.32931113 1.30501201 5.41690653
9042.20184596 3.64343799 0.43056064 4.07399864 5.40957682
9042.31472137 2.58731863 0.52205568 3.10937431 5.40221271
9042.42759678 -1.11322702 0.60175663 -0.51147039 5.39472904
9042.54047220 -3.67597435 0.66776902 -3.00820533 5.38705903
9042.65334761 -2.48161071 0.71837713 -1.76323357 5.37915902
9042.76622302 1.24913811 0.75207486 2.00121297 5.37101188
9042.87909843 3.70317766 0.76759313 4.47077079 5.36262887
9042.99197384 2.37230249 0.76392317 3.13622567 5.35404999
9043.10484925 -1.38323696 0.74033518 -0.64290178 5.34534296
9043.21772466 -3.72500845 0.69639184 -3.02861661 5.33660071
9043.33060007 -2.25955258 0.63195642 -1.62759616 5.32793785
9043.44347548 1.51532904 0.54719518 2.06252422 5.31948598
9043.55635089 3.74143506 0.44257403 4.18400909 5.31138834
9043.66922630 2.14352454 0.31884938 2.46237392 5.30379388
9043.78210171 -1.64522269 0.17705348 -1.46816921 5.29685104
9043.89497712 -3.75243365 0.01847446 -3.73395919 5.29070150
9044.00785253 -2.02438671 -0.15536854 -2.17975525 5.28547415
9044.12072794 1.77272949 -0.34275444 1.42997504 5.28127949
9044.23360335 3.75798826 -0.54179307 3.21619519 5.27820470
9044.34647876 1.90231193 -0.75046082 1.15185111 5.27630952
9044.45935417 -1.89766443 -0.96663847 -2.86430290 5.27562316
9044.57222958 -3.75809084 -1.18815026 -4.94624111 5.27614232
9044.68510499 -1.77747730 -1.41280330 -3.19028061 5.27783029
9044.79798040 2.01984627 -1.63842640 0.38141987 5.28061742
9044.91085581 3.75274124 -1.86290754 1.88983371 5.28440256
9045.02373122 1.65006394 -2.08422906 -0.43416512 5.28905580
9045.13660663 -2.13909775 -2.30049985 -4.43959760 5.29442203
9045.24948204 -3.74194722 -2.50998384 -6.25193106 5.30032545
9045.36235745 -1.52025669 -2.71112423 -4.23138092 5.30657464
9045.47523286 2.25524585 -2.90256302 -0.64731716 5.31296814
9045.58810827 3.72572443 -3.08315552 0.64256891 5.31930019
9045.70098368 1.38824387 -3.25197971 -1.86373584 5.32536638
9045.81385909 -2.36812208 -3.40834029 -5.77646237 5.33096920
9045.92673450 -3.70409642 -3.55176773 -7.25586415 5.33592291
9046.03960991 -1.25421700 -3.68201238 -4.93622938 5.34005788
9046.15248532 2.47756267 -3.79903414 -1.32147147 5.34322404
9046.26536073 3.67709457 -3.90298813 -0.22589357 5.34529332
9046.37823614 1.11837054 -3.99420687 -2.87583633 5.34616110
9046.49111155 -2.58340886 -4.07317970 -6.65658856 5.34574653
9046.60398696 -3.64475803 -4.14053008 -7.78528812 5.34399177
9046.71686237 -0.98090157 -4.19699148 -5.17789304 5.34086021
9046.82973778 2.68550707 -4.24338249 -1.55787543 5.33633371
9046.94261319 3.60713374 -4.28058201 -0.67344827 5.33040911
9047.05548860 0.84200951 -4.30950490 -3.46749539 5.32309407
9047.16836401 -2.78370918 -4.33107885 -7.11478803 5.31440253
9047.28123942 -3.56427627 -4.34622288 -7.91049916 5.30434983
9047.39411483 -0.70189588 -4.35582784 -5.05772372 5.29294797
9047.50699024 2.87787274 -4.36073922 -1.48286649 5.28020096
