name,period,semiaxis,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,mass_sigma,teq,st_teff
Kepler-82 b,26.44,0.1683,4.07,0.24,-0.1,12.15,0.96,-0.87,12.65625,,
Kepler-82 c,51.54,0.2626,5.34,0.32,-0.13,13.9,1.3,-1.2,10.69230769,,
Kepler-87 b,114.73635,0.481,13.49,0.55,-0.55,324.2,8.8,-8.8,36.84090909,478,5600
Kepler-87 c,191.2318,0.676,6.14,0.29,-0.29,6.4,0.8,-0.8,8,403,5600
Kepler-9 b,19.23891,0.143,8.29,0.54,-0.43,43.4,1.6,-2,27.125,,5774
Kepler-9 c,38.9853,0.227,8.08,0.54,-0.41,29.9,1.1,-1.3,27.18181818,,5774
Kepler-91 b,6.24658,0.0731,15.323,0.773,-0.673,257.4423,57.2094,-54.0311,4.5,2040,4550
Kepler-92 b,13.749,,3.51,0.1,-0.1,64.3,13.9,-13.9,4.625899281,,
Kepler-92 c,26.723,,2.6,0.08,-0.08,6.1,1.8,-1.8,3.388888889,,
Kepler-93 b,4.72673978,0.05343,1.478,0.019,-0.019,4.66,0.53,-0.53,8.79245283,1133,5669
Kepler-94 b,2.50806,,3.51,0.15,-0.15,10.84,1.4,-1.4,7.742857143,,4781
Kepler-95 b,11.5231,,3.42,0.09,-0.09,13,2.9,-2.9,4.482758621,,5699
Kepler-96 b,16.2385,,2.67,0.22,-0.22,8.46,3.4,-3.4,2.488235294,,5690
Kepler-97 b,2.58664,,1.48,0.13,-0.13,3.51,1.9,-1.9,1.847368421,,5779
Kepler-98 b,1.54168,,1.99,0.22,-0.22,3.55,1.6,-1.6,2.21875,,5539
Kepler-99 b,4.60358,,1.48,0.08,-0.08,6.15,1.3,-1.3,4.730769231,,4782
KOI-12 b,17.855182,0.154,13.787,0.673,-0.56,349.613,1112.405,-254.264,0.314285714,,
KOI-1257 b,86.647661,0.382,10.54,1.35,-1.35,460.83,111.24,-111.24,4.142664509,511,5520
KOI-13 b,1.763588,0.03641,16.948,0.392,-0.392,2949.4624,50.8528,-50.8528,58,2550,7650
KOI-142 b,10.91647,,3.438,0.075,-0.075,9.5,1.1,-1.1,8.636363636,,5466
KOI-1599.01,20.4415,0.14728,1.9,0.3,-0.3,4.6,0.3,-0.3,15.33333333,,
KOI-1599.02,13.6088,0.112293,1.9,0.2,-0.2,9,0.3,-0.3,30,,
KOI-1783.01,134.4628,,8.86,0.25,-0.24,71,11.2,-9.2,6.339285714,,5922
KOI-1783.02,284.215,,5.44,0.52,-0.3,15,4.3,-3.6,3.488372093,,5922
KOI-1831 d,34.169,,1.13,0.05,-0.05,2.23,0.5,-0.84,4.46,475,5233
KOI-3680 b,141.241671,0.534,11.097,0.673,-0.785,613.4119,60.3877,-66.7443,10.15789474,347,5830
KOI-94 b,3.743208,0.05119,1.71,0.16,-0.16,10.5,4.6,-4.6,2.282608696,1486,6182
KOI-94 c,10.423648,0.1013,4.32,0.41,-0.41,15.6,5.7,-15.6,2.736842105,1012,6182
