# Object photometry (observed + model)
#
# Object = TOI1685 
# RA = 068.59396005206 deg
# DEC = 43.03702752863 deg
# Av = 0.000000 
# D (pc) = 37.609 pc
# Model = BT-Settl (CIFIST) 
# Teff = 3400 K
# logg = 5 
# Meta. = 0 
# Chi2 = 265383.64722737 
# Md = 9.1695604224903E-20 
# Ftot = 6.8489314815971E-10 erg/cm2/s
# Ferr = 3.3597631554499E-14 erg/cm2/s
# Fobs/Ftot = 0.60584343017044 
# Nfit = 87 
# e_Teff = 50 K
# e_logg = 0.25 
# e_Meta. = 0 
# Teff_min = 3350 K
# Teff_max = 3450 K
# logg_min = 4.75 
# logg_max = 5.25 
# Meta_min = 0 
# Meta_max = 0 
# err_Av = 0 
# Vgf = 114.66998969886 
# Vgfb = 4.6558076653541 
# Rad1 = 0.50512369497298 
# eRad1 = 0.00036263500131007 
# Rad2 = 0.50150029339189 
# eRad2 = 0.014754707296898 
# M1 = 0.9305245927169 
# eM1 = 0.5356546802338 
# M2 = 0.91722261800596 
# eM2 = 0.53074708098706 
# Lbol = 0.030279711243783 Lsun
# Lberr = 4.4961792747713E-5 Lsun
#
             FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error                FluxMod    Fitted    Excess    FitExc    UpLim 
        OAJ/JPAS.J0650     6503.429262417    3.1230475814689E-14    6.7966346543812E-17    3.1230475814689E-14    6.7966346543812E-17    2.5003875860732E-14         1         0       ---      --- 
       OAJ/JPLUS.J0660    6606.6654755013    2.9835668465887E-14    6.9452773045122E-17    2.9835668465887E-14    6.9452773045122E-17     2.606105787837E-14         1         0       ---      --- 
        OAJ/JPAS.J0660    6610.5517765764    2.9598542996142E-14    6.8099767741429E-17    2.9598542996142E-14    6.8099767741429E-17    2.5483317229133E-14         1         0       ---      --- 
        OAJ/JPAS.J0670    6712.7832157855    2.2905601680426E-14    6.8030256760544E-17    2.2905601680426E-14    6.8030256760544E-17    1.9487615293916E-14         1         0       ---      --- 
        OAJ/JPAS.J0680    6810.4579506199    2.1903050958786E-14    7.2483223997232E-17    2.1903050958786E-14    7.2483223997232E-17    1.8345808694926E-14         1         0       ---      --- 
        OAJ/JPAS.J0690    6915.8073644896    2.8051305144562E-14    8.3329405861135E-17    2.8051305144562E-14    8.3329405861135E-17     2.206091196563E-14         1         0       ---      --- 
        OAJ/JPAS.J0700    7008.0883119069    3.4686774077966E-14    9.4144449917056E-17    3.4686774077966E-14    9.4144449917056E-17    3.0835838700581E-14         1         0       ---      --- 
        OAJ/JPAS.J0710    7121.4547746871     2.835323862913E-14    9.9275858304437E-17     2.835323862913E-14    9.9275858304437E-17    2.6713600275818E-14         1         0       ---      --- 
        OAJ/JPAS.J0720    7211.6499280237    3.0199396771091E-14    1.0521755212012E-16    3.0199396771091E-14    1.0521755212012E-16    2.9764560122427E-14         1         0       ---      --- 
        OAJ/JPAS.J0730    7311.7554872027    4.1629420759701E-14    1.1420916768614E-16    4.1629420759701E-14    1.1420916768614E-16     4.338313541834E-14         1         0       ---      --- 
        OAJ/JPAS.J0740    7415.6519453299    5.0371732451199E-14    1.1499633003792E-16    5.0371732451199E-14    1.1499633003792E-16    5.2589493747707E-14         1         0       ---      --- 
        OAJ/JPAS.J0750    7501.4510585561    5.3868198357273E-14    1.2153245113845E-16    5.3868198357273E-14    1.2153245113845E-16    5.5141527890605E-14         1         0       ---      --- 
        OAJ/JPAS.J0760     7599.057477555    4.9689531367976E-14    1.0599479294751E-16    4.9689531367976E-14    1.0599479294751E-16    5.0254769087856E-14         1         0       ---      --- 
       OAJ/JPLUS.iSDSS    7613.8616555141    4.6476668952474E-14    1.3727940333558E-17    4.6476668952474E-14    1.3727940333558E-17    4.6192430198052E-14         1         0       ---      --- 
        OAJ/JPAS.iSDSS    7613.8616555141    4.6476668952474E-14    1.3727940333558E-17    4.6476668952474E-14    1.3727940333558E-17    4.6192430198052E-14         1         0       ---      --- 
        GAIA/GAIA3.Grp    7619.9599926215    4.4204254589646E-14    1.5495604938925E-16    4.4204254589646E-14    1.5495604938925E-16    4.4574123398647E-14         1         0       ---      --- 
        OAJ/JPAS.J0770    7720.0874816416    4.2554402397616E-14     1.094319305331E-16    4.2554402397616E-14     1.094319305331E-16    4.1149929146965E-14         1         0       ---      --- 
        OAJ/JPAS.J0780    7807.8806331801    4.3502678335368E-14    1.1189065623288E-16    4.3502678335368E-14    1.1189065623288E-16    4.4902200001366E-14         1         0       ---      --- 
        OAJ/JPAS.J0790    7907.9881237266    4.7697230363967E-14    1.1524821143958E-16    4.7697230363967E-14    1.1524821143958E-16    4.9509974982881E-14         1         0       ---      --- 
        OAJ/JPAS.J0800    8006.6746804971    5.2992923351498E-14    1.1888073109573E-16    5.2992923351498E-14    1.1888073109573E-16    5.4005203680198E-14         1         0       ---      --- 
        OAJ/JPAS.J0810    8113.9179278543    5.5789757970538E-14    1.1628969009347E-16    5.5789757970538E-14    1.1628969009347E-16    5.7458229641268E-14         1         0       ---      --- 
        OAJ/JPAS.J0820    8216.3576548516    5.6550541528521E-14    1.1748609640861E-16    5.6550541528521E-14    1.1748609640861E-16    5.6357583680011E-14         1         0       ---      --- 
        OAJ/JPAS.J0830    8318.5143468159    5.4947208564758E-14    1.1354695900097E-16    5.4947208564758E-14    1.1354695900097E-16    5.5818975388733E-14         1         0       ---      --- 
        OAJ/JPAS.J0840    8410.5207238255    5.2658210933817E-14    1.1233962741371E-16    5.2658210933817E-14    1.1233962741371E-16    5.2818213441097E-14         1         0       ---      --- 
        OAJ/JPAS.J0850    8509.0266517668    5.0846759316781E-14    1.1736961087013E-16    5.0846759316781E-14    1.1736961087013E-16    5.0622632845463E-14         1         0       ---      --- 
       GAIA/GAIA3.Grvs    8578.1595190347    5.1833844477328E-14    3.3151166413461E-16    5.1833844477328E-14    3.3151166413461E-16    5.1936630847563E-14         1         0       ---      --- 
        OAJ/JPAS.J0860    8597.5682158949    5.1650994843034E-14    1.2547681778771E-16    5.1650994843034E-14    1.2547681778771E-16    5.3305740077535E-14         1         0       ---      --- 
       OAJ/JPLUS.J0861    8610.1592120902    5.2671196097353E-14    4.3269736317589E-17    5.2671196097353E-14    4.3269736317589E-17    5.3652784447224E-14         1         0       ---      --- 
        OAJ/JPAS.J0870    8708.8922730889    5.4086280559168E-14    1.3444337916331E-16    5.4086280559168E-14    1.3444337916331E-16    5.5444716667812E-14         1         0       ---      --- 
        OAJ/JPAS.J0880    8818.3733989778    5.5528258898156E-14    1.3975775532177E-16    5.5528258898156E-14    1.3975775532177E-16     5.645946938972E-14         1         0       ---      --- 
        OAJ/JPAS.J0890    8912.6609842356    5.5911601344191E-14    1.3940334593469E-16    5.5911601344191E-14    1.3940334593469E-16    5.4630055417868E-14         1         0       ---      --- 
       OAJ/JPLUS.zSDSS    8940.2846866585    5.4837113643252E-14    2.1148290619398E-17    5.4837113643252E-14    2.1148290619398E-17    5.5332508323604E-14         1         0       ---      --- 
        OAJ/JPAS.J0900    9001.8692135253    5.6277507814132E-14    1.4894670460601E-16    5.6277507814132E-14    1.4894670460601E-16                    NaN         1         0       ---      --- 
        OAJ/JPAS.J0910    9097.4974261978    5.7017458831434E-14    1.6537358784072E-16    5.7017458831434E-14    1.6537358784072E-16    5.7379928602686E-14         1         0       ---      --- 
         2MASS/2MASS.J              12350    4.4566195712014E-14    9.0303362950186E-16    4.4566195712014E-14    9.0303362950186E-16    4.5602241160633E-14         1         0       ---      --- 
         2MASS/2MASS.H              16620    2.8328912948021E-14    6.0011354042451E-16    2.8328912948021E-14    6.0011354042451E-16    2.9309216420432E-14         1         0       ---      --- 
        2MASS/2MASS.Ks              21590    1.3444605840217E-14    2.4765879191091E-16    1.3444605840217E-14    2.4765879191091E-16    1.3359351355744E-14         1         0       ---      --- 
          WISE/WISE.W1              33526    2.8340176331978E-15    5.3033851906768E-17    2.8340176331978E-15    5.3033851906768E-17    2.9422077549017E-15         1         0       ---      --- 
          WISE/WISE.W2              46028     9.300316680025E-16    1.3414011564725E-17     9.300316680025E-16    1.3414011564725E-17    1.0064555469403E-15         1         0       ---      --- 
          WISE/WISE.W3             115608    2.7284819560997E-17     6.785166828908E-19    2.7284819560997E-17     6.785166828908E-19    3.0750971290898E-17         1         0       ---      --- 
          WISE/WISE.W4             220883    2.6201509638821E-18    7.3121421076047E-19    2.6201509638821E-18    7.3121421076047E-19    2.5317141364438E-18         1         0       ---      --- 
