1.37912   4.45782   3.0787      G1V              GJ_679_
1.38122   4.66209   3.28087     G1V              GJ_615.2_B_
1.38496   4.33519   2.95024     G3VaHdel1        GJ_376_
1.39063   4.71409   3.32345     G2V              GJ_327_
1.39168   4.85472   3.46305     G2V              GJ_442_A_
1.39235   3.10752   1.71517     G3V              GJ_501.2_
1.39273   4.61591   3.22318     G2V              GJ_9685_
1.39378   4.31383   2.92005     G1V              GJ_708.4_
1.39532   4.7382    3.34288     G2V              GJ_702.2_
1.39716   4.77152   3.37436     G1.5V(n)         *_pi.01_UMi_A_
1.39726   4.69668   3.29942     G4               GJ_9390_A_
1.39752   4.76119   3.36367     G4V              GJ_3387_
1.40045   4.8502    3.44976     G2.5V            GJ_9527_
1.40057   4.65338   3.25281     G3V              HD_145825_
1.40088   4.89518   3.4943      G2V              GJ_1085_
1.40128   4.37303   2.97175     G2V              GJ_9774_
1.40224   4.86225   3.46001     G1V              HD_1562_
1.4027    5.04774   3.64504     G5VFe-1.2CH-0.9  HD_149612_
1.40391   4.81547   3.41155     G3V              GJ_3446_
1.40446   4.64729   3.24282     G2V              GJ_776_
1.40877   4.90101   3.49223     G1V              HD_199509_
1.41026   4.46097   3.05071     G3VFe0.5         GJ_16.1_
1.41285   3.61112   2.19827     G2IV-V           GJ_857_
1.41839   5.04178   3.62339     G1V              HD_45391_
1.41956   4.98773   3.56817     G1.5V            GJ_135_
1.42242   4.44911   3.02669     G3V              GJ_765.1_B_
1.43561   4.65815   3.22255     G3V              HD_157347_
1.44053   4.69541   3.25488     G3V              GJ_9061_B_
1.44101   4.85814   3.41714     G2V              HD_12846_
1.44137   4.10224   2.66087     G7IVHdel1        GJ_759_
1.4418    4.83454   3.39274     G6V              GJ_744_
1.443     4.35191   2.90891     G1V              GJ_162.1_
1.44305   4.67122   3.22817     G6VFe-0.9        GJ_31.5_
1.44401   4.27371   2.82969     F9V              GJ_288_A_
1.44897   4.88263   3.43366     G1.5V            GJ_547_
1.45414   4.8544    3.40026     G7V              GJ_231_
1.45668   4.62351   3.16683     G1.5V            GJ_3194_
1.46128   4.79736   3.33609     G5VFe-1          HD_51419_
1.46219   4.73415   3.27196     G6.5V            GJ_59.1_
1.46437   5.05961   3.59525     G5V              HD_4915_
1.46457   4.35538   2.89081     G5VCH0.3         GJ_3852_
1.46791   5.0805    3.61259     G6.5V            GJ_3389_
1.4695    4.94975   3.48025     G5V              GJ_486.1_
1.47191   5.11382   3.64191     G7VFe-1.4CH-1.2  GJ_9172_A_
1.47225   4.83647   3.36422     G5V              GJ_65.1_
1.47679   4.53172   3.05493     G7IV-V           GJ_9683_
1.47918   4.98798   3.5088      G5V              HD_63433_
1.48067   4.96751   3.48685     G4V              GJ_3593_
1.48508   4.82488   3.3398      G8IV             GJ_454_
1.49333   3.52553   2.0322      G2.5IV           GJ_792.1_A_
1.50485   4.82468   3.31984     G8V              GJ_120.2_
1.50554   4.78993   3.2844      G6.5V            GJ_275_
1.5066    5.05845   3.55186     G8V              HD_26913_
1.50666   5.05962   3.55296     G6V              GJ_446_
1.51001   5.04806   3.53805     G5V              GJ_3597_
1.51084   4.91799   3.40715     G7IV             GJ_599_A_
1.511     4.98997   3.47897     G5V              HD_113283_
1.515     5.20504   3.69004     G9               GJ_290_
1.52044   5.05969   3.53925     G6V              GJ_3863_
1.52299   5.20502   3.68203     G8V              GJ_434_
1.52355   4.94465   3.4211      G8V              HD_218868_
1.52676   5.1811    3.65435     G8Vk:            V*_KU_Lib_
1.52775   5.01435   3.4866      G8V              GJ_790_
1.53229   4.72843   3.19614     G6V              GJ_511.1_
1.53391   5.15822   3.62431     G6V              GJ_139_
1.53897   3.49068   1.9517      G4Va             GJ_512.1_
1.54109   5.11202   3.57092     G8V              GJ_762.2_
1.54967   5.18669   3.63702     G8V              GJ_3021_A_
1.5514    5.00056   3.44917     G9IV-V           GJ_429_A_
1.55659   5.16944   3.61285     G8/K0V           GJ_3830_
1.55998   4.7126    3.15262     G8V              GJ_9769_
1.56433   5.18426   3.61994     G8               GJ_5_
1.5661    5.19113   3.62503     G5V              GJ_1262_
1.56967   4.3576    2.78794     G4V              GJ_570.1_
1.5704    5.40148   3.83108     K0V              GJ_75_
1.57653   4.87666   3.30013     G6.5V            GJ_506_
1.58007   5.50219   3.92212     G8VFe-0.7        HD_39855_
1.58067   5.27503   3.69436     G9               GJ_651_
1.58291   5.34743   3.76451     G7.5IV-V         GJ_796_
1.59022   5.25693   3.66671     G8:V             GJ_302_
1.59686   5.60594   4.00908     G8V              GJ_95_
1.5983    4.44213   2.84383     G1/2V            HD_48189_
1.60218   5.14108   3.5389      G9V              HD_205536_
1.60553   5.3124    3.70687     G8.5Vk:          GJ_641_
1.60628   5.35843   3.75216     G5V              GJ_204.1_
1.61904   5.64546   4.02642     K0V              GJ_764_
1.6204    5.48764   3.86724     G8V              GJ_71.0_
1.62132   5.35443   3.73312     K0V              GJ_59_A_
1.62212   5.07108   3.44897     K0IV-V           GJ_652_
1.62659   4.98277   3.35618     G9V              GJ_82.1_
1.62918   5.29917   3.66999     G9V              GJ_260_
1.62958   5.36133   3.73175     G8V              GJ_423.1_
1.63204   5.30566   3.67362     K0               GJ_1233_
1.63755   5.26777   3.63021     G9V              GJ_850_
1.63772   5.13573   3.49801     G8.5V            GJ_3648_
1.64189   5.45041   3.80852     K0V              GJ_2001_
1.64228   5.53582   3.89354     K0VFe-0.9        GJ_9681_
