#time rv erv jitter rvnoplanet tlab
9123.02619000 -3.35110678 3.17350000 3.19722432 -0.25241935 5
9123.03701500 -3.35110678 3.15310000 3.17697666 -0.64033712 5
9153.02322600 10.49729322 3.89150000 3.91087117 0.62899840 5
9153.03398700 10.49729322 3.62250000 3.64330171 0.48496577 5
9156.94231400 -10.73630678 3.80400000 3.82381447 -0.10855720 5
9156.95302500 -10.73630678 3.82120000 3.84092574 0.03253107 5
9157.02692200 -10.73630678 3.84400000 3.86360933 0.07461746 5
9157.03760300 -10.73630678 3.81180000 3.83157413 -0.05228681 5
9188.86894200 10.86079322 3.73350000 3.75368663 0.67946592 5
9188.87962500 10.86079322 5.11920000 5.13394095 0.99610588 5
9188.95689200 7.23179322 3.06070000 3.08529181 -0.00373995 5
9188.97109800 7.23179322 3.45600000 3.47779773 0.48390322 5
9188.98530600 7.23179322 3.05330000 3.07795094 0.95323240 5
9189.79770700 0.46569322 3.18190000 3.20556215 -0.34019349 5
9189.80840100 0.46569322 3.17760000 3.20129393 -0.37624241 5
9189.86777100 0.46569322 3.12580000 3.14988360 -1.12278388 5
9189.87845300 0.46569322 3.08280000 3.10721691 -1.33938921 5
9242.89031000 5.37829322 4.10090000 4.11928657 0.46532040 5
9242.90098900 5.37829322 4.07770000 4.09619071 0.27152248 5
9242.91167100 5.37829322 4.07780000 4.09629026 0.10512925 5
9242.92235000 5.37829322 4.23370000 4.25151229 -0.03182743 5
9242.93303400 5.37829322 3.76770000 3.78770437 -0.13779641 5
9242.94373200 5.37829322 4.03720000 4.05587536 -0.21144602 5
9244.83737200 -2.92230678 3.98700000 4.00590939 -0.08632981 5
9244.84805100 -2.92230678 3.77920000 3.79914381 -0.37729007 5
9244.85874800 -2.92230678 3.76390000 3.78392446 -0.65683049 5
9244.92806500 -0.14620678 3.76070000 3.78074140 0.79739081 5
9244.93874900 -0.14620678 3.80410000 3.82391395 0.69465386 5
9247.74093000 -7.82970678 4.88470000 4.90014644 -1.04922557 5
9247.74949800 -7.82970678 4.59520000 4.61161621 -0.84401061 5
9247.75806500 -7.82970678 4.68460000 4.70070401 -0.62513627 5
9247.76664900 -7.82970678 5.29070000 5.30496443 -0.39353932 5
